horizon,fold,Date,EntryDate,ExitDate,strategy,top_n,selected,status,return_settled,mdd,missing_weight,path_coverage,assumption_flat,assumption_loss50,assumption_loss100
20,21,2026-02-04,2026-02-05,2026-03-06,all_train,10,10,settled_path,0.0004497909731215957,-0.018390180205467344,0.0,1.0,0.0004497909731215957,0.0004497909731215957,0.0004497909731215957
20,21,2026-02-04,2026-02-05,2026-03-06,stable_train,10,10,settled_path,0.04049243424760862,-0.03097463316161586,0.0,1.0,0.04049243424760862,0.04049243424760862,0.04049243424760862
20,22,2026-03-05,2026-03-06,2026-04-06,lowvol,10,10,settled_path,0.0026330725449345005,-0.050154036371448885,0.0,1.0,0.0026330725449345005,0.0026330725449345005,0.0026330725449345005
20,22,2026-03-05,2026-03-06,2026-04-06,stable_lowvol,10,10,settled_path,0.0026330725449345005,-0.050154036371448885,0.0,1.0,0.0026330725449345005,0.0026330725449345005,0.0026330725449345005
20,22,2026-03-05,2026-03-06,2026-04-06,all_train,10,10,settled_path,-0.05182494327676449,-0.07087988514898547,0.0,1.0,-0.05182494327676449,-0.05182494327676449,-0.05182494327676449
20,22,2026-03-05,2026-03-06,2026-04-06,stable_train,10,10,settled_path,-0.023108091663515674,-0.04725278656057641,0.0,1.0,-0.023108091663515674,-0.023108091663515674,-0.023108091663515674
20,23,2026-04-02,2026-04-06,2026-05-04,lowvol,10,10,unresolved_return,,,0.1,0.9095238095238095,-0.013084554826316675,-0.06308455482631667,-0.11308455482631667
20,23,2026-04-02,2026-04-06,2026-05-04,stable_lowvol,10,10,unresolved_return,,,0.1,0.9095238095238095,-0.013084554826316675,-0.06308455482631667,-0.11308455482631667
20,23,2026-04-02,2026-04-06,2026-05-04,all_train,10,10,settled_path,-0.04440633758808621,-0.06202330083682195,0.0,1.0,-0.04440633758808621,-0.04440633758808621,-0.04440633758808621
20,23,2026-04-02,2026-04-06,2026-05-04,stable_train,10,10,settled_path,-0.037789969923500866,-0.06323035048257908,0.0,1.0,-0.037789969923500866,-0.037789969923500866,-0.037789969923500866
20,24,2026-05-01,2026-05-04,2026-06-02,lowvol,10,10,settled_path,-0.032067027336545484,-0.038784722761184276,0.0,1.0,-0.032067027336545484,-0.032067027336545484,-0.032067027336545484
20,24,2026-05-01,2026-05-04,2026-06-02,stable_lowvol,10,10,settled_path,-0.032067027336545484,-0.038784722761184276,0.0,1.0,-0.032067027336545484,-0.032067027336545484,-0.032067027336545484
20,24,2026-05-01,2026-05-04,2026-06-02,all_train,10,10,unresolved_return,,,0.1,0.9142857142857143,0.0006538433383010522,-0.04934615666169895,-0.09934615666169895
20,24,2026-05-01,2026-05-04,2026-06-02,stable_train,10,10,settled_path,-0.03659338961089259,-0.0387190359623476,0.0,1.0,-0.03659338961089259,-0.03659338961089259,-0.03659338961089259
60,1,2024-07-01,2024-07-02,2024-09-26,lowvol,10,10,settled_path,0.09922963342943811,-0.02099068585582986,0.0,1.0,0.09922963342943811,0.09922963342943811,0.09922963342943811
60,1,2024-07-01,2024-07-02,2024-09-26,stable_lowvol,10,10,settled_path,0.09922963342943811,-0.02099068585582986,0.0,1.0,0.09922963342943811,0.09922963342943811,0.09922963342943811
60,1,2024-07-01,2024-07-02,2024-09-26,all_train,10,10,settled_path,0.09114582914998923,-0.0646593844088087,0.0,1.0,0.09114582914998923,0.09114582914998923,0.09114582914998923
60,1,2024-07-01,2024-07-02,2024-09-26,stable_train,10,10,settled_path,0.08579995926927132,-0.06702911542740364,0.0,1.0,0.08579995926927132,0.08579995926927132,0.08579995926927132
60,2,2024-09-25,2024-09-26,2024-12-20,lowvol,10,10,unresolved_return,,,0.1,0.9967213114754099,-0.06184872367862102,-0.11184872367862102,-0.16184872367862102
60,2,2024-09-25,2024-09-26,2024-12-20,stable_lowvol,10,10,unresolved_return,,,0.1,0.9967213114754099,-0.06184872367862102,-0.11184872367862102,-0.16184872367862102
60,2,2024-09-25,2024-09-26,2024-12-20,all_train,10,10,settled_path,-0.08450160511544083,-0.10866586202100426,0.0,1.0,-0.08450160511544083,-0.08450160511544083,-0.08450160511544083
60,2,2024-09-25,2024-09-26,2024-12-20,stable_train,10,10,settled_path,-0.03555891385706146,-0.10078097288400367,0.0,1.0,-0.03555891385706146,-0.03555891385706146,-0.03555891385706146
60,3,2024-12-19,2024-12-20,2025-03-21,lowvol,10,10,settled_path,0.07027353108882568,-0.03877131847361903,0.0,1.0,0.07027353108882568,0.07027353108882568,0.07027353108882568
60,3,2024-12-19,2024-12-20,2025-03-21,stable_lowvol,10,10,settled_path,0.07027353108882568,-0.03877131847361903,0.0,1.0,0.07027353108882568,0.07027353108882568,0.07027353108882568
60,3,2024-12-19,2024-12-20,2025-03-21,all_train,10,10,settled_path,0.07313098558573851,-0.09599123869027448,0.0,1.0,0.07313098558573851,0.07313098558573851,0.07313098558573851
60,3,2024-12-19,2024-12-20,2025-03-21,stable_train,10,10,settled_path,0.049796299815183166,-0.055339266890080285,0.0,1.0,0.049796299815183166,0.049796299815183166,0.049796299815183166
60,4,2025-03-20,2025-03-21,2025-06-17,lowvol,10,10,settled_path,0.008504820478182195,-0.06371898492710415,0.0,1.0,0.008504820478182195,0.008504820478182195,0.008504820478182195
60,4,2025-03-20,2025-03-21,2025-06-17,stable_lowvol,10,10,settled_path,0.008504820478182195,-0.06371898492710415,0.0,1.0,0.008504820478182195,0.008504820478182195,0.008504820478182195
60,4,2025-03-20,2025-03-21,2025-06-17,all_train,10,10,settled_path,0.015968261659231885,-0.12734026072829419,0.0,1.0,0.015968261659231885,0.015968261659231885,0.015968261659231885
60,4,2025-03-20,2025-03-21,2025-06-17,stable_train,10,10,settled_path,0.008330348706897176,-0.11700942983431983,0.0,1.0,0.008330348706897176,0.008330348706897176,0.008330348706897176
